lat,long,fecha,hora,temp,hum,pres,XAcel,YAcel,ZAcel,XGy,YGy,ZGy



25.500000,29,783.68,452.00,100.00,17640.00,-19.00,-1.00,14.00
26.299999,30,783.70,364.00,104.00,17528.00,-21.00,-1.00,12.00
26.299999,30,783.65,420.00,68.00,17644.00,-18.00,0.00,14.00
26.799999,30,783.67,340.00,36.00,17548.00,-19.00,-3.00,15.00
26.799999,30,783.65,452.00,8.00,17460.00,-18.00,-1.00,11.00
24.899999,29,783.69,432.00,96.00,17748.00,-18.00,-1.00,13.00
24.899999,29,783.66,456.00,-8.00,17604.00,-20.00,1.00,10.00
24.700000,29,783.65,496.00,0.00,17460.00,-20.00,0.00,12.00
24.700000,29,783.66,404.00,36.00,17448.00,-20.00,0.00,11.00
26.799999,30,783.68,448.00,92.00,17512.00,-20.00,-1.00,13.00
26.799999,30,783.63,372.00,20.00,17516.00,-17.00,0.00,13.00
25.600000,29,783.67,436.00,-28.00,17484.00,-17.00,-1.00,15.00
19.395132,-99.032562,,05:13:08,24.600000,29,783.62,400.00,92.00,17620.00,-16.00,-2.00,10.00
24.600000,29,783.69,336.00,68.00,17464.00,-17.00,5.00,11.00
25.899999,29,783.64,360.00,48.00,17688.00,-20.00,-3.00,11.00
25.899999,29,783.66,468.00,12.00,17524.00,-18.00,-1.00,13.00
25.500000,29,783.68,368.00,68.00,17592.00,-17.00,2.00,13.00
19.395132,-99.032562,,05:13:08,25.500000,29,783.71,412.00,56.00,17644.00,-19.00,-2.00,14.00
25.700000,29,783.68,416.00,84.00,17592.00,-18.00,0.00,15.00
25.700000,29,783.64,484.00,96.00,17628.00,-20.00,-6.00,14.00
23.899999,29,783.62,412.00,172.00,17568.00,-14.00,1.00,11.00
19.395132,-99.032562,,05:13:08,23.899999,29,783.62,320.00,76.00,17644.00,-16.00,0.00,10.00
24.500000,29,783.66,440.00,56.00,17576.00,-17.00,0.00,12.00
