lat,long,fecha,hora,temp,hum,pres,XAcel,YAcel,ZAcel,XGy,YGy,ZGy
26.299999,30.0,783.70,364.00,104.0,17528.0,-21.0,-1.0,12.0,,,,
26.299999,30.0,783.65,420.00,68.0,17644.0,-18.0,0.0,14.0,,,,
26.799999,30.0,783.67,340.00,36.0,17548.0,-19.0,-3.0,15.0,,,,
26.799999,30.0,783.65,452.00,8.0,17460.0,-18.0,-1.0,11.0,,,,
24.899999,29.0,783.69,432.00,96.0,17748.0,-18.0,-1.0,13.0,,,,
24.899999,29.0,783.66,456.00,-8.0,17604.0,-20.0,1.0,10.0,,,,
24.7,29.0,783.65,496.00,0.0,17460.0,-20.0,0.0,12.0,,,,
24.7,29.0,783.66,404.00,36.0,17448.0,-20.0,0.0,11.0,,,,
26.799999,30.0,783.68,448.00,92.0,17512.0,-20.0,-1.0,13.0,,,,
26.799999,30.0,783.63,372.00,20.0,17516.0,-17.0,0.0,13.0,,,,
25.6,29.0,783.67,436.00,-28.0,17484.0,-17.0,-1.0,15.0,,,,
19.395132,-99.032562,,05:13:08,24.6,29.0,783.62,400.0,92.0,17620.0,-16.0,-2.0,10.0
24.6,29.0,783.69,336.00,68.0,17464.0,-17.0,5.0,11.0,,,,
25.899999,29.0,783.64,360.00,48.0,17688.0,-20.0,-3.0,11.0,,,,
25.899999,29.0,783.66,468.00,12.0,17524.0,-18.0,-1.0,13.0,,,,
25.5,29.0,783.68,368.00,68.0,17592.0,-17.0,2.0,13.0,,,,
19.395132,-99.032562,,05:13:08,25.5,29.0,783.71,412.0,56.0,17644.0,-19.0,-2.0,14.0
25.7,29.0,783.68,416.00,84.0,17592.0,-18.0,0.0,15.0,,,,
25.7,29.0,783.64,484.00,96.0,17628.0,-20.0,-6.0,14.0,,,,
23.899999,29.0,783.62,412.00,172.0,17568.0,-14.0,1.0,11.0,,,,
19.395132,-99.032562,,05:13:08,23.899999,29.0,783.62,320.0,76.0,17644.0,-16.0,0.0,10.0
24.5,29.0,783.66,440.00,56.0,17576.0,-17.0,0.0,12.0,,,,
19.395132,-99.032562,,05:13:08,24.5,29.0,783.67,388.0,12.0,17684.0,-18.0,4.0,11.0
25.299999,29.0,783.66,392.00,28.0,17580.0,-18.0,-1.0,14.0,,,,
25.299999,29.0,783.58,408.00,84.0,17548.0,-19.0,-1.0,9.0,,,,
26.299999,30.0,783.64,344.00,4.0,17448.0,-18.0,-1.0,13.0,,,,
26.299999,30.0,783.64,376.00,140.0,17616.0,-17.0,-1.0,12.0,,,,
25.1,29.0,783.69,564.00,12.0,17512.0,-20.0,3.0,11.0,,,,
25.1,29.0,783.64,444.00,88.0,17484.0,-17.0,-3.0,12.0,,,,
25.1,29.0,783.64,356.00,40.0,17652.0,-21.0,2.0,11.0,,,,
